	0
Albania	1
Algeria	2
Argentina	3
Aruba	4
Australia	5
Austria	6
Bahrain	7
Bangladesh	8
Belarus	9
Belgium	10
Brazil	11
Brunei Darussalam	12
Bulgaria	13
Burkina Faso	14
Cameroon	15
Canada	16
Chile	17
China	18
Colombia	19
Costa Rica	20
Croatia	21
Cyprus	22
Czech Republic	23
Denmark	24
Dominican Republic	25
Ecuador	26
Egypt	27
El Salvador	28
France	29
Germany	30
Ghana	31
Greece	32
Hong Kong	33
Hungary	34
Iceland	35
India	36
Indonesia	37
Iran, Islamic Republic of	38
Iraq	39
Ireland	40
Israel	41
Italy	42
Japan	43
Korea, Republic of	44
Lebanon	45
Liberia	46
Malaysia	47
Mexico	48
Morocco	49
Netherlands	50
New Zealand	51
Nigeria	52
Norway	53
Pakistan	54
Peru	55
Philippines	56
Poland	57
Portugal	58
Romania	59
Russian Federation	60
Serbia	61
Singapore	62
Slovenia	63
South Africa	64
Spain	65
Sri Lanka	66
Sweden	67
Switzerland	68
Taiwan, Province of China	69
Tanzania, United Republic of	70
Thailand	71
Tunisia	72
Turkey	73
Ukraine	74
United Arab Emirates	75
United Kingdom	76
United States	77
United States Minor Outlying Islands	78
Uzbekistan	79
Venezuela	80
Viet Nam	81
Zimbabwe	82
