	0
Albania	1
Algeria	2
Argentina	3
Aruba	4
Australia	5
Austria	6
Bahrain	7
Bangladesh	8
Belarus	9
Belgium	10
Brazil	11
Brunei Darussalam	12
Bulgaria	13
Burkina Faso	14
Cameroon	15
Canada	16
Chile	17
China	18
Colombia	19
Costa Rica	20
Croatia	21
Cyprus	22
Czech Republic	23
Denmark	24
Ecuador	25
Egypt	26
El Salvador	27
France	28
Germany	29
Ghana	30
Greece	31
Hong Kong	32
Hungary	33
Iceland	34
India	35
Indonesia	36
Iran, Islamic Republic of	37
Iraq	38
Ireland	39
Israel	40
Italy	41
Japan	42
Korea, Republic of	43
Lebanon	44
Liberia	45
Malaysia	46
Mexico	47
Morocco	48
Netherlands	49
New Zealand	50
Nigeria	51
Norway	52
Pakistan	53
Peru	54
Philippines	55
Poland	56
Portugal	57
Romania	58
Russian Federation	59
Serbia	60
Singapore	61
Slovenia	62
South Africa	63
Spain	64
Sri Lanka	65
Sweden	66
Switzerland	67
Taiwan, Province of China	68
Thailand	69
Tunisia	70
Turkey	71
Ukraine	72
United Arab Emirates	73
United Kingdom	74
United States	75
United States Minor Outlying Islands	76
Uzbekistan	77
Venezuela	78
Viet Nam	79
Zimbabwe	80
