	0
Algeria	1
Argentina	2
Australia	3
Austria	4
Bahrain	5
Belgium	6
Brazil	7
Canada	8
Chile	9
China	10
Colombia	11
Costa Rica	12
Croatia	13
Czech Republic	14
Germany	15
Greece	16
India	17
Indonesia	18
Iran, Islamic Republic of	19
Ireland	20
Israel	21
Italy	22
Japan	23
Korea, Republic of	24
Malaysia	25
Mexico	26
Morocco	27
Netherlands	28
Norway	29
Pakistan	30
Peru	31
Philippines	32
Poland	33
Portugal	34
Russian Federation	35
Singapore	36
Slovenia	37
South Africa	38
Spain	39
Sweden	40
Tunisia	41
Turkey	42
Ukraine	43
United Kingdom	44
United States	45
